Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,Undetermined,White-breasted Nuthatch,Sitta carolinensis,178775,90935,WBNU,FALSE,FALSE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2009,6/12/2009,6:15,6:25,Marshall Edens,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,20.39999962,96,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Male,Yellow-throated Vireo,Vireo flavifrons,179009,93573,YTVI,FALSE,TRUE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Scarlet Tanager,Piranga olivacea,179883,88071,SCTA,FALSE,TRUE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Male,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,2.5 - 5 min,Calling,<= 50 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Male,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,5 - 7.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2008,6/26/2008,6:19,6:36,Desiree Narango,2,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,20,88,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Yellow-billed Cuckoo,Coccyzus americanus,177831,89102,YBCU,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,White-breasted Nuthatch,Sitta carolinensis,178775,90935,WBNU,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,5 - 7.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Male,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2007,6/19/2007,8:30,8:48,Sarah Goodwin,2,5 - 7.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Northern Flicker,Colaptes auratus,178154,84820,NOFL,FALSE,FALSE,24,83,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Acadian Flycatcher,Empidonax virescens,178339,85824,ACFL,FALSE,TRUE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Red-eyed Vireo,Vireo olivaceus,179021,93587,REVI,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Red-shouldered Hawk,Buteo lineatus,175359,79572,RSHA,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Calling,,TRUE,Undetermined,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2016,5/24/2016,8:56,9:06,Conor Higgins,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,17.39999962,81.09999847,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2010,5/25/2010,8:22,8:32,Sacha Mkheidze,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,25.70000076,78,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2010,5/25/2010,8:22,8:32,Sacha Mkheidze,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,Undetermined,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,25.70000076,78,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2010,5/25/2010,8:22,8:32,Sacha Mkheidze,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,25.70000076,78,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 2,ANTI-0207,Forest,2010,5/25/2010,8:22,8:32,Sacha Mkheidze,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,25.70000076,78,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
